path,true_class,predicted_class,confidence,true_pdf_id,pred_pdf_id
train\SUV\07129_Land-Rover-LR2-SUV-2012_jpg.rf.ac52bdaa9ef973814db2f810974377e7.jpg,SUV,HATCHBACK,0.845,1,7
train\SUV\07159_Ford-Edge-SUV-2012_jpg.rf.82736d9f269a295c3b10df66fd392cf6.jpg,SUV,HATCHBACK,0.693,1,7
train\SUV\07189_Hyundai-Veracruz-SUV-2012_jpg.rf.6234afff1dcc07fbb06771bbc235f8f1.jpg,SUV,HATCHBACK,0.560,1,7
train\SUV\07218_Jeep-Compass-SUV-2012_jpg.rf.726a3e4275bb3f93d418231a441062f4.jpg,SUV,PICKUP,0.719,1,8
train\SUV\07274_Jeep-Wrangler-SUV-2012_jpg.rf.323fe321362c4728cc88afbb241b1596.jpg,SUV,PICKUP,0.846,1,8
train\SUV\07363_BMW-X6-SUV-2012_jpg.rf.8ae4193b4295d3a85f89a4442a9db629.jpg,SUV,HATCHBACK,0.666,1,7
train\SUV\07382_Infiniti-QX56-SUV-2011_jpg.rf.1c15c42a4301f409a55fe6ea0e89cd05.jpg,SUV,HATCHBACK,0.623,1,7
train\SUV\07394_Ford-Expedition-EL-SUV-2009_jpg.rf.f1f4e71a9f4110ee9e9e7b7f9e58007d.jpg,SUV,HATCHBACK,0.593,1,7
train\SUV\07511_BMW-X3-SUV-2012_jpg.rf.5af3e5403a73984ec3dff5ac49ffa0cc.jpg,SUV,HATCHBACK,0.698,1,7
train\SUV\07532_Jeep-Liberty-SUV-2012_jpg.rf.da2c586153795f1d99962d15e1ec9543.jpg,SUV,PICKUP,0.887,1,8
train\SUV\07569_Cadillac-SRX-SUV-2012_jpg.rf.26c643b15f80fb610ada47d6b535ac4f.jpg,SUV,HATCHBACK,0.742,1,7
train\SUV\07593_Isuzu-Ascender-SUV-2008_jpg.rf.c913dade5deb05ee86ac318fa63f8a58.jpg,SUV,HATCHBACK,0.612,1,7
train\SUV\07625_Buick-Enclave-SUV-2012_jpg.rf.ff425fa2a0a74f65606844cb8388a355.jpg,SUV,HATCHBACK,0.588,1,7
train\SUV\07771_Jeep-Liberty-SUV-2012_jpg.rf.6c42dab5f7b6a9fd58c35bc2478c3729.jpg,SUV,PICKUP,0.581,1,8
train\SUV\07810_Land-Rover-Range-Rover-SUV-2012_jpg.rf.db64d89d69f412397c0af852216913a5.jpg,SUV,PICKUP,0.596,1,8
train\SUV\07894_Buick-Enclave-SUV-2012_jpg.rf.c9aa23c9c1784e7e95dcf9a7d8357b0d.jpg,SUV,HATCHBACK,0.809,1,7
train\SUV\108_jpg.rf.8d262b537627d73f7356a00684f6f584.jpg,SUV,HATCHBACK,0.797,1,7
train\SUV\113_jpg.rf.f09a7328f9871fe2065f6250ee99fdf3.jpg,SUV,HATCHBACK,0.652,1,7
train\SUV\127_jpg.rf.8b12286500998a5659ea2d5699343d14.jpg,SUV,PICKUP,0.613,1,8
train\SUV\128_jpg.rf.3b86a3c9a4e1179eda5c1f3d9f4fa085.jpg,SUV,HATCHBACK,0.794,1,7
train\SUV\135_jpg.rf.966891aca92801f0eb30597ca33da31e.jpg,SUV,HATCHBACK,0.766,1,7
train\SUV\137_jpg.rf.557f5b8559512b62668a92832b082d7d.jpg,SUV,HATCHBACK,0.589,1,7
train\SUV\14_jpg.rf.c565fe264333ffed06d5807e78adee6a.jpg,SUV,HATCHBACK,0.589,1,7
train\SUV\152_jpg.rf.95dc83e93d822b59a7feb78db8f8ecd8.jpg,SUV,HATCHBACK,0.786,1,7
train\SUV\185_jpg.rf.9fe90fda84c00fca1f46d2de0a360da6.jpg,SUV,PICKUP,0.564,1,8
train\SUV\19_jpg.rf.1780e285311c0fbcad11236142f44d33.jpg,SUV,HATCHBACK,0.803,1,7
train\SUV\20_jpg.rf.a23384a116776a7baec19227ea449ea0.jpg,SUV,HATCHBACK,0.580,1,7
train\SUV\229_jpg.rf.7db74284bd169fde074566b3ede2dacc.jpg,SUV,HATCHBACK,0.647,1,7
train\SUV\233_jpg.rf.e917ea884f15505077f194ab14fe0468.jpg,SUV,HATCHBACK,0.589,1,7
train\SUV\238_jpg.rf.ff05c5e026e5e538ffc6aa70d3253328.jpg,SUV,HATCHBACK,0.562,1,7
train\SUV\289_jpg.rf.082c5c3e4830afd96c369d9026f0d703.jpg,SUV,HATCHBACK,0.827,1,7
train\SUV\290_jpg.rf.3deed22dee9d4bfd9ddae87cf849027a.jpg,SUV,HATCHBACK,0.795,1,7
train\SUV\291_jpg.rf.1d5476567e5a4cb91a002f956ffbf729.jpg,SUV,HATCHBACK,0.732,1,7
train\SUV\299_jpg.rf.ffe56580f7ef64dbfca0ec2c6b0e23ce.jpg,SUV,HATCHBACK,0.690,1,7
train\SUV\29_jpg.rf.488d1bce739cfef3bfe96b3857c5c41b.jpg,SUV,HATCHBACK,0.593,1,7
train\SUV\320_jpg.rf.f1a6d3ab58c623daec956e2b1a3e1dd3.jpg,SUV,HATCHBACK,0.653,1,7
train\SUV\322_jpg.rf.c792a6c0397ed873329b93002204cf5e.jpg,SUV,HATCHBACK,0.697,1,7
train\SUV\323_jpg.rf.43d29749c54d7e866d849b6687ec16d1.jpg,SUV,PICKUP,0.717,1,8
train\SUV\326_jpg.rf.2756702251a9b6807a4c8539f406cafb.jpg,SUV,HATCHBACK,0.714,1,7
train\SUV\342_jpg.rf.95ffe4a92b816757c8e599ad0670c70a.jpg,SUV,HATCHBACK,0.561,1,7
train\SUV\346_jpg.rf.c12098d902c0f9f5d02341cd0b196106.jpg,SUV,HATCHBACK,0.706,1,7
train\SUV\34_jpg.rf.5a611c14e29bbbd5ea879882f7a9ec5a.jpg,SUV,HATCHBACK,0.690,1,7
train\SUV\366_jpg.rf.ac58c0b4a077cfcf822fa41d4cbe55c8.jpg,SUV,HATCHBACK,0.560,1,7
train\SUV\369_jpg.rf.9abc465d902f30234a903d8e9ef3fd57.jpg,SUV,ACIK_TEKERLEK,0.824,1,5
train\SUV\37_jpg.rf.8d72727392cfe3de0b5b07b6f45caf85.jpg,SUV,HATCHBACK,0.749,1,7
train\SUV\381_jpg.rf.3eb5bf0b8a24894c9503c8259a164870.jpg,SUV,HATCHBACK,0.685,1,7
train\SUV\386_jpg.rf.7c789f4b5d18dd4cb13394d9c332107c.jpg,SUV,HATCHBACK,0.700,1,7
train\SUV\392_jpg.rf.1acbd254e4d09ab60d918d6da1705cff.jpg,SUV,HATCHBACK,0.769,1,7
train\SUV\393_jpg.rf.aeddfece1bec4413f45f931ec4768ba9.jpg,SUV,HATCHBACK,0.695,1,7
train\SUV\3_jpg.rf.6b257f14148c032b428c79944cdf71cf.jpg,SUV,HATCHBACK,0.565,1,7
train\SUV\44_jpg.rf.cd3cc541c17fe1294bbf9b4fb5ca1abe.jpg,SUV,HATCHBACK,0.870,1,7
train\SUV\519_jpg.rf.274c96b69f0934d1ef20f1dce35ec01f.jpg,SUV,HATCHBACK,0.724,1,7
train\SUV\55_jpg.rf.3f9268ce40d62d3fdda7d175db77a8b1.jpg,SUV,HATCHBACK,0.683,1,7
train\SUV\58_jpg.rf.66cf97a9169a5c133ee3f0433231df3b.jpg,SUV,HATCHBACK,0.563,1,7
train\SUV\61_jpg.rf.b3bd9ca2cc0344924ca608a61a5206da.jpg,SUV,HATCHBACK,0.619,1,7
train\SUV\71_jpg.rf.9fa99f1ec6ce63ead94b430f3e37a862.jpg,SUV,HATCHBACK,0.647,1,7
train\SUV\77_jpg.rf.f17cc203e0236db52855ab75894fe03d.jpg,SUV,HATCHBACK,0.918,1,7
train\SUV\7_jpg.rf.b0b0ce65fb6ea2d1f33a29efeb805ccf.jpg,SUV,HATCHBACK,0.680,1,7
train\SUV\81_jpg.rf.ea587ad5181d04dd87813c06ec77fdda.jpg,SUV,PICKUP,0.670,1,8
train\SUV\87_jpg.rf.492d3ff52c6f40411f0387a406b96093.jpg,SUV,HATCHBACK,0.633,1,7
train\SUV\89_jpg.rf.c27ec3eabac0888c8aba8717660101bc.jpg,SUV,HATCHBACK,0.782,1,7
train\SUV\90_jpg.rf.a807484756462ecc159d580b04f2b546.jpg,SUV,HATCHBACK,0.561,1,7
train\SUV\95_jpg.rf.a83f703b5124850665bba8abafcad54f.jpg,SUV,HATCHBACK,0.586,1,7
train\SUV\97_jpg.rf.7d0a488292f9b5499e1292b2950677cb.jpg,SUV,HATCHBACK,0.769,1,7
train\SUV\Image_71_jpg.rf.649729621d2fee56cf6a04f3484ed9de.jpg,SUV,HATCHBACK,0.821,1,7
train\SUV\Image_72_jpg.rf.4c737f57a667d95e3b80a6908c9a3ccb.jpg,SUV,HATCHBACK,0.826,1,7
train\VAN\00043_GMC-Savana-Van-2012_jpg.rf.4e26f97257a910d8125cc4f26d8a6b51.jpg,VAN,HATCHBACK,0.632,2,7
train\VAN\01893_GMC-Savana-Van-2012_jpg.rf.a4a33bc6fc14bb618ff292462bde5b68.jpg,VAN,PICKUP,0.583,2,8
train\VAN\08013_GMC-Savana-Van-2012_jpg.rf.c650570c6079c8617581fdae966892ee.jpg,VAN,PICKUP,0.610,2,8
train\VAN\13_jpg.rf.e70f27cfdd346083aafce0883400e0df.jpg,VAN,HATCHBACK,0.799,2,7
train\VAN\141_jpg.rf.847a5f31e48a1c726e33f14b25ca679a.jpg,VAN,HATCHBACK,0.558,2,7
train\VAN\202010265454409_jpg.rf.1d46b5c46c5e1b63c62fd8c1854f2417.jpg,VAN,HATCHBACK,0.664,2,7
train\VAN\202102028623109_jpg.rf.d5ceaaf7579d9992fedff2a703652144.jpg,VAN,HATCHBACK,0.658,2,7
train\VAN\202102229345554_jpg.rf.cb817560ea6470bc6d7953899010504a.jpg,VAN,HATCHBACK,0.573,2,7
train\VAN\202103019594242_jpg.rf.99e48bbda12c951e82a35a96a1bf3767.jpg,VAN,HATCHBACK,0.714,2,7
train\VAN\202103260605827_jpg.rf.b1f18492bbaf0e63002a8097596b27ff.jpg,VAN,HATCHBACK,0.582,2,7
train\VAN\202103260637502_jpg.rf.d0c66ae640f10dc6b222ef0faafcb350.jpg,VAN,HATCHBACK,0.585,2,7
train\VAN\202104010843724_jpg.rf.74da6a8c3e09d108bb530e917ef3ffe3.jpg,VAN,HATCHBACK,0.557,2,7
train\VAN\202104121261779_jpg.rf.ac43cac61ad5a612eb9a87668a98a051.jpg,VAN,HATCHBACK,0.760,2,7
train\VAN\202104161448212_jpg.rf.cfdf4b2f1de5ccac74596a721f169aa9.jpg,VAN,HATCHBACK,0.586,2,7
train\VAN\202105062254625_jpg.rf.bf36c576c82fded4cac6acf65170c7c1.jpg,VAN,HATCHBACK,0.558,2,7
train\VAN\202105263096021_jpg.rf.4812416cf3b0d971404c8aaff390f2f3.jpg,VAN,PICKUP,0.556,2,8
train\VAN\202106093661911_jpg.rf.1f53e9989f6de6069fc4065a5fe52038.jpg,VAN,HATCHBACK,0.568,2,7
train\VAN\202106103721477_jpg.rf.e80861d3c9ffa8ee624c6f658ae3f7c4.jpg,VAN,HATCHBACK,0.567,2,7
train\VAN\246_jpg.rf.ea214b0fc93423c9124030ac13bd40ac.jpg,VAN,HATCHBACK,0.715,2,7
train\VAN\41_jpg.rf.de7a5e31413e202bcc2130edebad6606.jpg,VAN,HATCHBACK,0.568,2,7
train\VAN\43_jpg.rf.f2fa8a6eca842a68a91b1bb6af6237e7.jpg,VAN,HATCHBACK,0.754,2,7
train\VAN\69_jpg.rf.58df7075a940b2e8d8a93b8b7d21469e.jpg,VAN,HATCHBACK,0.570,2,7
train\VAN\93_jpg.rf.3a7ac7ee403c52ef1ba050f63b18f570.jpg,VAN,ACIK_TEKERLEK,0.556,2,5
train\VAN\Image_147_jpg.rf.fde792d683c7fb48e1b926475d9f1668.jpg,VAN,HATCHBACK,0.601,2,7
train\VAN\Image_190_jpg.rf.8dc06c8cdd0257244651fff45258e754.jpg,VAN,ACIK_TEKERLEK,0.566,2,5
train\VAN\Image_84_png.rf.77e58e774a225bb4d0cde3754acd8475.jpg,VAN,HATCHBACK,0.564,2,7
train\STATION_WAGON\15970380.jpg,STATION_WAGON,ACIK_TEKERLEK,0.637,3,5
train\STATION_WAGON\16091860.jpg,STATION_WAGON,HATCHBACK,0.603,3,7
train\STATION_WAGON\16427371.jpg,STATION_WAGON,ACIK_TEKERLEK,0.577,3,5
train\STATION_WAGON\16427374.jpg,STATION_WAGON,ACIK_TEKERLEK,0.839,3,5
train\STATION_WAGON\16524419.jpg,STATION_WAGON,ACIK_TEKERLEK,0.628,3,5
train\STATION_WAGON\16545621.jpg,STATION_WAGON,HATCHBACK,0.569,3,7
train\STATION_WAGON\16641134.jpg,STATION_WAGON,HATCHBACK,0.778,3,7
train\STATION_WAGON\16650829.jpg,STATION_WAGON,HATCHBACK,0.809,3,7
train\STATION_WAGON\16718821.jpg,STATION_WAGON,HATCHBACK,0.840,3,7
train\STATION_WAGON\16721913.jpg,STATION_WAGON,HATCHBACK,0.692,3,7
train\STATION_WAGON\16722069.jpg,STATION_WAGON,ACIK_TEKERLEK,0.552,3,5
train\STATION_WAGON\16743872.jpg,STATION_WAGON,ACIK_TEKERLEK,0.719,3,5
train\STATION_WAGON\16795399.jpg,STATION_WAGON,HATCHBACK,0.779,3,7
train\STATION_WAGON\16810894.jpg,STATION_WAGON,HATCHBACK,0.786,3,7
train\STATION_WAGON\16817659.jpg,STATION_WAGON,HATCHBACK,0.757,3,7
train\STATION_WAGON\16863162.jpg,STATION_WAGON,ACIK_TEKERLEK,0.665,3,5
train\STATION_WAGON\16888141.jpg,STATION_WAGON,HATCHBACK,0.594,3,7
train\STATION_WAGON\16924239.jpg,STATION_WAGON,ACIK_TEKERLEK,0.648,3,5
train\STATION_WAGON\16941703.jpg,STATION_WAGON,ACIK_TEKERLEK,0.568,3,5
train\STATION_WAGON\16969345.jpg,STATION_WAGON,ACIK_TEKERLEK,0.584,3,5
train\STATION_WAGON\17063183.jpg,STATION_WAGON,HATCHBACK,0.640,3,7
train\STATION_WAGON\17282803.jpg,STATION_WAGON,HATCHBACK,0.613,3,7
train\STATION_WAGON\17282814.jpg,STATION_WAGON,HATCHBACK,0.555,3,7
train\STATION_WAGON\17293284.jpg,STATION_WAGON,HATCHBACK,0.832,3,7
train\STATION_WAGON\17306776.jpg,STATION_WAGON,ACIK_TEKERLEK,0.559,3,5
train\STATION_WAGON\17346183.jpg,STATION_WAGON,HATCHBACK,0.798,3,7
train\STATION_WAGON\17360822.jpg,STATION_WAGON,HATCHBACK,0.736,3,7
train\STATION_WAGON\17491737.jpg,STATION_WAGON,ACIK_TEKERLEK,0.831,3,5
train\STATION_WAGON\17509397.jpg,STATION_WAGON,HATCHBACK,0.678,3,7
train\STATION_WAGON\17546335.jpg,STATION_WAGON,ACIK_TEKERLEK,0.660,3,5
train\STATION_WAGON\17600232.jpg,STATION_WAGON,ACIK_TEKERLEK,0.746,3,5
