path,folder_label,model_pred,confidence
train\HATCHBACK\72_jpg.rf.42c36e9e974c0d3795987cf36ea241c9.jpg,HATCHBACK,SEDAN,0.695
train\HATCHBACK\73_jpg.rf.faa97d8cf6a2c7750edfa79f68ec32d9.jpg,HATCHBACK,SEDAN,0.967
train\HATCHBACK\74_jpg.rf.a2eccb028b76ee315ab92b6e243808e4.jpg,HATCHBACK,SEDAN,0.698
train\HATCHBACK\77_jpg.rf.4b7860b7d0b38d3a01acff86b4fc7cec.jpg,HATCHBACK,SEDAN,0.971
train\HATCHBACK\82_jpg.rf.57e3d691fa867646cd3b8393a6cbc591.jpg,HATCHBACK,SEDAN,0.914
train\HATCHBACK\83_jpg.rf.b25fdc7c9965484a3e76be2a01d1fdbd.jpg,HATCHBACK,SEDAN,0.967
train\HATCHBACK\85_jpg.rf.0edf140546e126ad78878adc37204110.jpg,HATCHBACK,SEDAN,0.970
train\HATCHBACK\86784c54-66b6-11eb-bc20-8c164571e025_jpg.rf.beb20b53637f93a7c36886bc5cd516b1.jpg,HATCHBACK,SEDAN,0.949
train\HATCHBACK\86789a46-66b6-11eb-8040-8c164571e025_jpg.rf.5b09a601c1befeb7835537aa9a60338d.jpg,HATCHBACK,SEDAN,0.774
train\HATCHBACK\8678c132-66b6-11eb-bb70-8c164571e025_jpg.rf.e40a0f07a138fda7427e14b11a7cae57.jpg,HATCHBACK,SEDAN,0.862
train\HATCHBACK\8678c134-66b6-11eb-9ff3-8c164571e025_jpg.rf.206712c22a7b75ab2b6180ace099afe8.jpg,HATCHBACK,SEDAN,0.758
train\HATCHBACK\8678c135-66b6-11eb-9164-8c164571e025_jpg.rf.c67c3a91d19cb96e07031cb428b69771.jpg,HATCHBACK,SEDAN,0.857
train\HATCHBACK\8678c13b-66b6-11eb-87fd-8c164571e025_jpg.rf.c0a2f8d15dbb2d1136df13f8380630d1.jpg,HATCHBACK,SEDAN,0.689
train\HATCHBACK\8678e827-66b6-11eb-9b6c-8c164571e025_jpg.rf.9354653bf856d25dc0399d67dd48ba5b.jpg,HATCHBACK,SEDAN,0.922
train\HATCHBACK\8678e832-66b6-11eb-9080-8c164571e025_jpg.rf.8ed9b31958d1dff6798d92de2d05c8d6.jpg,HATCHBACK,SEDAN,0.769
train\HATCHBACK\86793611-66b6-11eb-8507-8c164571e025_jpg.rf.e6aed479141033a65566bb68aca5bcb9.jpg,HATCHBACK,SEDAN,0.950
train\HATCHBACK\8679361c-66b6-11eb-b346-8c164571e025_jpg.rf.c9bf7e9075738b5cfce7d16157df8b4b.jpg,HATCHBACK,SEDAN,0.833
train\HATCHBACK\86795d04-66b6-11eb-ad2b-8c164571e025_jpg.rf.b461fc6fb35fe414e90c20dbf63add30.jpg,HATCHBACK,SEDAN,0.995
train\HATCHBACK\867983f6-66b6-11eb-95ed-8c164571e025_jpg.rf.4c3a6c598ef93e557143c43e7292bd14.jpg,HATCHBACK,SEDAN,0.919
train\HATCHBACK\867983fd-66b6-11eb-bc59-8c164571e025_jpg.rf.0e98e97b94b4e82bda02f2611a3a84be.jpg,HATCHBACK,SEDAN,0.988
train\HATCHBACK\86798405-66b6-11eb-88a3-8c164571e025_jpg.rf.f15c8d4ffb345782e9b06e47f4f10f23.jpg,HATCHBACK,SEDAN,0.994
train\HATCHBACK\8679840a-66b6-11eb-a9d5-8c164571e025_jpg.rf.9c7a0425add857e997cb5f07d5f8e1da.jpg,HATCHBACK,SEDAN,0.801
train\HATCHBACK\8679840c-66b6-11eb-b721-8c164571e025_jpg.rf.6cf2b237d273e6836ff099b5e306cbd5.jpg,HATCHBACK,SEDAN,0.860
train\HATCHBACK\8679aaf3-66b6-11eb-9acc-8c164571e025_jpg.rf.5c6f7b47ddff5983dc20cd32cf069b3d.jpg,HATCHBACK,SEDAN,0.767
train\HATCHBACK\8679aaf6-66b6-11eb-be50-8c164571e025_jpg.rf.708a71e014ca0c89cecd566032bac29c.jpg,HATCHBACK,SEDAN,0.908
train\HATCHBACK\8679d1f9-66b6-11eb-903a-8c164571e025_jpg.rf.b15c57ffc2ad32a8155b0c33f8ac64b8.jpg,HATCHBACK,SEDAN,0.821
train\HATCHBACK\867a1fc6-66b6-11eb-97aa-8c164571e025_jpg.rf.fb29d5f05202a70e56141a5faa2c75d8.jpg,HATCHBACK,SEDAN,0.749
train\HATCHBACK\867a1fd8-66b6-11eb-9592-8c164571e025_jpg.rf.83f6b58d82e8cdc4d2b76b63ef86902f.jpg,HATCHBACK,SEDAN,0.946
train\HATCHBACK\867a1fe0-66b6-11eb-af7d-8c164571e025_jpg.rf.32c880cf62b1b46049b516d5723a0e26.jpg,HATCHBACK,SEDAN,0.761
train\HATCHBACK\867a1fea-66b6-11eb-b075-8c164571e025_jpg.rf.1583eb7551a8355c2f535fa761c277fc.jpg,HATCHBACK,SEDAN,0.708
train\HATCHBACK\867a1ff6-66b6-11eb-ad4b-8c164571e025_jpg.rf.c14cef41f3133a098a685d1ac17a9490.jpg,HATCHBACK,SEDAN,0.970
train\HATCHBACK\867a46b7-66b6-11eb-a0f1-8c164571e025_jpg.rf.592c96368ae321f9d17a36e7b3733005.jpg,HATCHBACK,SEDAN,0.908
train\HATCHBACK\867a46be-66b6-11eb-b71e-8c164571e025_jpg.rf.0be083af27c0fb8b248671b4d3b364f7.jpg,HATCHBACK,SEDAN,0.891
train\HATCHBACK\867a46de-66b6-11eb-ae09-8c164571e025_jpg.rf.0afe70f740700a1492d2f0ddcb2b07d1.jpg,HATCHBACK,SEDAN,0.655
train\HATCHBACK\867a6da6-66b6-11eb-8f2b-8c164571e025_jpg.rf.11e3cd52dbc60b162663f740018f5be7.jpg,HATCHBACK,SEDAN,0.934
train\HATCHBACK\867a6dac-66b6-11eb-956c-8c164571e025_jpg.rf.085346fe4c7219cafc2d632d2b2572bf.jpg,HATCHBACK,SEDAN,0.919
train\HATCHBACK\867a6db8-66b6-11eb-9e15-8c164571e025_jpg.rf.056717a86b5390486d7d8864c44b7069.jpg,HATCHBACK,SEDAN,0.871
train\HATCHBACK\867a6dd9-66b6-11eb-9925-8c164571e025_jpg.rf.d92a666e3dfaac4d782d02b24c0b82d8.jpg,HATCHBACK,SEDAN,0.970
train\HATCHBACK\867a949f-66b6-11eb-a102-8c164571e025_jpg.rf.6e87440a7513942502fc20887d47e8cb.jpg,HATCHBACK,SEDAN,0.973
train\HATCHBACK\867a94a9-66b6-11eb-bc1f-8c164571e025_jpg.rf.cf71c77c926ebbf990d25cc0e351d0ea.jpg,HATCHBACK,SEDAN,0.894
train\HATCHBACK\867a94d0-66b6-11eb-91b8-8c164571e025_jpg.rf.4fd66a2c64ef350e097d5bed8a1a92b7.jpg,HATCHBACK,SEDAN,0.948
train\HATCHBACK\867abb95-66b6-11eb-85de-8c164571e025_jpg.rf.aae66b7e32ffaaf22283e44bd1bb24b1.jpg,HATCHBACK,SEDAN,0.943
train\HATCHBACK\867abb9d-66b6-11eb-9a05-8c164571e025_jpg.rf.83177bbbfc9a96acf9cc9046f58f4c63.jpg,HATCHBACK,SEDAN,0.894
train\HATCHBACK\867abbaf-66b6-11eb-89b9-8c164571e025_jpg.rf.4ff621230f52e016a658b6d01aa77e09.jpg,HATCHBACK,SEDAN,0.981
train\HATCHBACK\867abbb2-66b6-11eb-a02c-8c164571e025_jpg.rf.7c943c513bc39ca74aade2a5b9ee26e9.jpg,HATCHBACK,SEDAN,0.749
train\HATCHBACK\867ae28b-66b6-11eb-b750-8c164571e025_jpg.rf.7a5698c1cb80274722aca731a9dd83fb.jpg,HATCHBACK,SEDAN,0.847
train\HATCHBACK\867ae28d-66b6-11eb-8965-8c164571e025_jpg.rf.864c8366ae198406ec9b079ddb9b13c2.jpg,HATCHBACK,SEDAN,0.676
train\HATCHBACK\867ae2b6-66b6-11eb-9923-8c164571e025_jpg.rf.c2a99f564f614a8ba16280431f629855.jpg,HATCHBACK,SEDAN,0.884
train\HATCHBACK\867b0994-66b6-11eb-9c32-8c164571e025_jpg.rf.7f2e0857b18b1e82e4bec23eb6071b48.jpg,HATCHBACK,SEDAN,0.959
train\HATCHBACK\867b09a4-66b6-11eb-b4f1-8c164571e025_jpg.rf.c920c426be3f5b7188f440a766a7b693.jpg,HATCHBACK,SEDAN,0.705
train\HATCHBACK\867b09b0-66b6-11eb-8c7f-8c164571e025_jpg.rf.91c4f660b2201b2bb9c507f3585c9e3e.jpg,HATCHBACK,SEDAN,0.903
train\HATCHBACK\867b309c-66b6-11eb-bb1e-8c164571e025_jpg.rf.d2ced877f946ef6d21de96521e110b39.jpg,HATCHBACK,SEDAN,0.901
train\HATCHBACK\867b30a9-66b6-11eb-b7fe-8c164571e025_jpg.rf.944e8f6d48eae96c890b3a61dc268674.jpg,HATCHBACK,SEDAN,0.755
train\HATCHBACK\867b30ab-66b6-11eb-b2e2-8c164571e025_jpg.rf.80d13543cbf66d6f6d862ea78fdc6f83.jpg,HATCHBACK,SEDAN,0.846
train\HATCHBACK\90_jpg.rf.9ce5e5647638cea0785bfb664487c800.jpg,HATCHBACK,SEDAN,0.909
train\HATCHBACK\92_jpg.rf.8e898c217fbdcd7e8e2c95b845894cbf.jpg,HATCHBACK,SEDAN,0.884
train\HATCHBACK\9_jpg.rf.e180f6dac693b9f49ba19f0c932130dc.jpg,HATCHBACK,SEDAN,0.939
train\HATCHBACK\d581b471-66ac-11eb-84e3-8c164571e025_jpg.rf.2745a8e2bd598d057febdea52fbe906c.jpg,HATCHBACK,SEDAN,0.673
train\HATCHBACK\d5824f39-66ac-11eb-a38e-8c164571e025_jpg.rf.2c8154d21663f0bc7bd941e59f4f9bbb.jpg,HATCHBACK,SEDAN,0.746
train\HATCHBACK\d5838968-66ac-11eb-939b-8c164571e025_jpg.rf.3d2e3ffffdcb80d99926423656de9a86.jpg,HATCHBACK,SEDAN,0.655
train\HATCHBACK\d58389be-66ac-11eb-a129-8c164571e025_jpg.rf.281bbd6ef02d2d1bdca9927b39ffc727.jpg,HATCHBACK,SEDAN,0.888
train\HATCHBACK\d584e9fe-66ac-11eb-8d71-8c164571e025_jpg.rf.e566d34a7915a177d98070e14aaad9c6.jpg,HATCHBACK,SEDAN,0.743
train\HATCHBACK\Image_109_png.rf.c92e80698923728f157aa727a523e079.jpg,HATCHBACK,SEDAN,0.809
train\HATCHBACK\Image_133_jpg.rf.146a44df537f9059236bedd2e1366240.jpg,HATCHBACK,SEDAN,0.750
train\HATCHBACK\Image_181_png.rf.ac088b44fcec358ea14a49bc947a32cc.jpg,HATCHBACK,SEDAN,0.970
train\HATCHBACK\Image_48_jpg.rf.386a8d7c4a880ed8abb9519393dfb407.jpg,HATCHBACK,SEDAN,0.926
train\Pick-Up\07532_Jeep-Liberty-SUV-2012_jpg.rf.da2c586153795f1d99962d15e1ec9543.jpg,PICKUP,SUV,0.789
train\Pick-Up\133_jpg.rf.05713f9f086f7d12388ee1f8346302fe.jpg,PICKUP,SUV,0.775
