src,dst,from_class,to_class,confidence
train\SEDAN\03511_Acura-TSX-Sedan-2012_jpg.rf.594c57f5337b0041f5d0afc61abcc103.jpg,train\HATCHBACK\03511_Acura-TSX-Sedan-2012_jpg.rf.594c57f5337b0041f5d0afc61abcc103.jpg,SEDAN,HATCHBACK,0.915
train\SEDAN\03740_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.71d42224d08a158b549746e313ab6b36.jpg,train\HATCHBACK\03740_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.71d42224d08a158b549746e313ab6b36.jpg,SEDAN,HATCHBACK,0.863
train\SEDAN\03823_Toyota-Camry-Sedan-2012_jpg.rf.15f7cd519b14fd27470c8188f7ae8dff.jpg,train\HATCHBACK\03823_Toyota-Camry-Sedan-2012_jpg.rf.15f7cd519b14fd27470c8188f7ae8dff.jpg,SEDAN,HATCHBACK,0.984
train\SEDAN\03852_BMW-M5-Sedan-2010_jpg.rf.54bb694ed6fed860853d363f775dad67.jpg,train\HATCHBACK\03852_BMW-M5-Sedan-2010_jpg.rf.54bb694ed6fed860853d363f775dad67.jpg,SEDAN,HATCHBACK,0.929
train\SEDAN\03892_Audi-S4-Sedan-2007_jpg.rf.757ea4ddcd03e2a126bc156d7626db1b.jpg,train\HATCHBACK\03892_Audi-S4-Sedan-2007_jpg.rf.757ea4ddcd03e2a126bc156d7626db1b.jpg,SEDAN,HATCHBACK,0.924
train\SEDAN\06645_Buick-Verano-Sedan-2012_jpg.rf.709c0afabc161f4dd7e3f66377758854.jpg,train\HATCHBACK\06645_Buick-Verano-Sedan-2012_jpg.rf.709c0afabc161f4dd7e3f66377758854.jpg,SEDAN,HATCHBACK,0.890
train\SEDAN\06734_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.df2d20fe6027b6e8d6e869b12261110f.jpg,train\HATCHBACK\06734_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.df2d20fe6027b6e8d6e869b12261110f.jpg,SEDAN,HATCHBACK,0.921
train\SEDAN\06835_Suzuki-Kizashi-Sedan-2012_jpg.rf.fcdc7908c0ea2283f896c75d16ede87d.jpg,train\HATCHBACK\06835_Suzuki-Kizashi-Sedan-2012_jpg.rf.fcdc7908c0ea2283f896c75d16ede87d.jpg,SEDAN,HATCHBACK,0.909
train\SEDAN\06973_Hyundai-Sonata-Sedan-2012_jpg.rf.ad7e2afcdead24c502e66136dd26503a.jpg,train\HATCHBACK\06973_Hyundai-Sonata-Sedan-2012_jpg.rf.ad7e2afcdead24c502e66136dd26503a.jpg,SEDAN,HATCHBACK,0.963
train\SEDAN\06983_Porsche-Panamera-Sedan-2012_jpg.rf.dd40c1adf2b2e7317db1282a6d83c2f4.jpg,train\HATCHBACK\06983_Porsche-Panamera-Sedan-2012_jpg.rf.dd40c1adf2b2e7317db1282a6d83c2f4.jpg,SEDAN,HATCHBACK,0.899
train\SEDAN\07215_Hyundai-Elantra-Sedan-2007_jpg.rf.499844ad8ea96f53277953281c18c35b.jpg,train\HATCHBACK\07215_Hyundai-Elantra-Sedan-2007_jpg.rf.499844ad8ea96f53277953281c18c35b.jpg,SEDAN,HATCHBACK,0.902
train\SEDAN\07346_Acura-TL-Sedan-2012_jpg.rf.c53d6152d7f3a9397b8c5a63b9eb270d.jpg,train\HATCHBACK\07346_Acura-TL-Sedan-2012_jpg.rf.c53d6152d7f3a9397b8c5a63b9eb270d.jpg,SEDAN,HATCHBACK,0.902
train\SEDAN\07414_Suzuki-Aerio-Sedan-2007_jpg.rf.ce42b12fecbfedf5f16b2e6b328c822c.jpg,train\HATCHBACK\07414_Suzuki-Aerio-Sedan-2007_jpg.rf.ce42b12fecbfedf5f16b2e6b328c822c.jpg,SEDAN,HATCHBACK,0.942
train\SEDAN\07443_Honda-Accord-Sedan-2012_jpg.rf.1f06789d32eae0074fc47137bbbea18b.jpg,train\HATCHBACK\07443_Honda-Accord-Sedan-2012_jpg.rf.1f06789d32eae0074fc47137bbbea18b.jpg,SEDAN,HATCHBACK,0.862
train\SEDAN\07581_Hyundai-Sonata-Sedan-2012_jpg.rf.0f0312a6ca7e7898036069ce15130304.jpg,train\HATCHBACK\07581_Hyundai-Sonata-Sedan-2012_jpg.rf.0f0312a6ca7e7898036069ce15130304.jpg,SEDAN,HATCHBACK,0.952
train\SEDAN\07951_Buick-Verano-Sedan-2012_jpg.rf.834eefadbd6ab01b13d24d8c016e5f30.jpg,train\HATCHBACK\07951_Buick-Verano-Sedan-2012_jpg.rf.834eefadbd6ab01b13d24d8c016e5f30.jpg,SEDAN,HATCHBACK,0.896
train\SEDAN\07957_Suzuki-Aerio-Sedan-2007_jpg.rf.cc5644c6a07c48cfb925a7566796ff78.jpg,train\HATCHBACK\07957_Suzuki-Aerio-Sedan-2007_jpg.rf.cc5644c6a07c48cfb925a7566796ff78.jpg,SEDAN,HATCHBACK,0.976
train\SEDAN\108_jpg.rf.19a3d558712133fb2b05196fd93a9256.jpg,train\HATCHBACK\108_jpg.rf.19a3d558712133fb2b05196fd93a9256.jpg,SEDAN,HATCHBACK,0.934
train\SEDAN\108_jpg.rf.d2aacc041ce99c0c3ce704ed666fc31b.jpg,train\HATCHBACK\108_jpg.rf.d2aacc041ce99c0c3ce704ed666fc31b.jpg,SEDAN,HATCHBACK,0.909
train\SEDAN\110_jpg.rf.b2b830bdcf72392d348d728d4eb7733f.jpg,train\HATCHBACK\110_jpg.rf.b2b830bdcf72392d348d728d4eb7733f.jpg,SEDAN,HATCHBACK,0.855
train\SEDAN\114_jpg.rf.122177aa4a15828a8e2363e8290e3a2b.jpg,train\HATCHBACK\114_jpg.rf.122177aa4a15828a8e2363e8290e3a2b.jpg,SEDAN,HATCHBACK,0.930
train\SEDAN\117_jpg.rf.0042ac06e76b5af883a68366ace55b1c.jpg,train\HATCHBACK\117_jpg.rf.0042ac06e76b5af883a68366ace55b1c.jpg,SEDAN,HATCHBACK,0.861
train\SEDAN\119_jpg.rf.559e608edc80b76fb1784e53e27ff3f6.jpg,train\HATCHBACK\119_jpg.rf.559e608edc80b76fb1784e53e27ff3f6.jpg,SEDAN,HATCHBACK,0.899
train\SEDAN\119_jpg.rf.8148ef434e122cc7e8166d9a91426f80.jpg,train\HATCHBACK\119_jpg.rf.8148ef434e122cc7e8166d9a91426f80.jpg,SEDAN,HATCHBACK,0.894
train\SEDAN\136_jpg.rf.07c3625be93632d154538b1763e4356d.jpg,train\HATCHBACK\136_jpg.rf.07c3625be93632d154538b1763e4356d.jpg,SEDAN,HATCHBACK,0.929
train\SEDAN\138_jpg.rf.6c0e820c1ede09807a05302f76b6d1e7.jpg,train\HATCHBACK\138_jpg.rf.6c0e820c1ede09807a05302f76b6d1e7.jpg,SEDAN,HATCHBACK,0.914
train\SEDAN\146_jpg.rf.4ced1cda25f6fe96a7101683c1c6f274.jpg,train\HATCHBACK\146_jpg.rf.4ced1cda25f6fe96a7101683c1c6f274.jpg,SEDAN,HATCHBACK,0.903
train\SEDAN\153_jpg.rf.424ce9a9532749ee63062e34a4baab46.jpg,train\HATCHBACK\153_jpg.rf.424ce9a9532749ee63062e34a4baab46.jpg,SEDAN,HATCHBACK,0.909
train\SEDAN\166_jpg.rf.d967ddfdebb01305c8300b848635a2ee.jpg,train\HATCHBACK\166_jpg.rf.d967ddfdebb01305c8300b848635a2ee.jpg,SEDAN,HATCHBACK,0.865
train\SEDAN\170_jpg.rf.e0144cd15430de4d93e6d045062cf532.jpg,train\HATCHBACK\170_jpg.rf.e0144cd15430de4d93e6d045062cf532.jpg,SEDAN,HATCHBACK,0.862
train\SEDAN\174_jpg.rf.82c97d124650f3114bbd8b2cd2ab9099.jpg,train\HATCHBACK\174_jpg.rf.82c97d124650f3114bbd8b2cd2ab9099.jpg,SEDAN,HATCHBACK,0.942
train\SEDAN\174_jpg.rf.ac1a3a6b41e97d1c35511626dc02a7df.jpg,train\HATCHBACK\174_jpg.rf.ac1a3a6b41e97d1c35511626dc02a7df.jpg,SEDAN,HATCHBACK,0.901
train\SEDAN\178_jpg.rf.91c69a90eab785ead6aaf57f155d6521.jpg,train\HATCHBACK\178_jpg.rf.91c69a90eab785ead6aaf57f155d6521.jpg,SEDAN,HATCHBACK,0.864
train\SEDAN\183_jpg.rf.2f00b5465c23c38cbfc0f811a1db7813.jpg,train\HATCHBACK\183_jpg.rf.2f00b5465c23c38cbfc0f811a1db7813.jpg,SEDAN,HATCHBACK,0.928
train\SEDAN\184_jpg.rf.76b4b357afc1c09361b5078aa3398a40.jpg,train\HATCHBACK\184_jpg.rf.76b4b357afc1c09361b5078aa3398a40.jpg,SEDAN,HATCHBACK,0.864
train\SEDAN\187_jpg.rf.8471dc71d327a2aeea5296345b18cb7e.jpg,train\HATCHBACK\187_jpg.rf.8471dc71d327a2aeea5296345b18cb7e.jpg,SEDAN,HATCHBACK,0.884
train\SEDAN\193_jpg.rf.bb608b57e3157af3683db0a1b27c85c5.jpg,train\HATCHBACK\193_jpg.rf.bb608b57e3157af3683db0a1b27c85c5.jpg,SEDAN,HATCHBACK,0.932
train\SEDAN\205_jpg.rf.6caf7ab450928a6cc4607dd19ef42f6c.jpg,train\HATCHBACK\205_jpg.rf.6caf7ab450928a6cc4607dd19ef42f6c.jpg,SEDAN,HATCHBACK,0.881
train\SEDAN\212_jpg.rf.39b984daab16b425b59c3d9541bf53d7.jpg,train\HATCHBACK\212_jpg.rf.39b984daab16b425b59c3d9541bf53d7.jpg,SEDAN,HATCHBACK,0.928
train\SEDAN\21_jpg.rf.f95e0faf5268c82ec65635171140eb99.jpg,train\HATCHBACK\21_jpg.rf.f95e0faf5268c82ec65635171140eb99.jpg,SEDAN,HATCHBACK,0.867
train\SEDAN\226_jpg.rf.928222df27f78ee6436af97c846dfa00.jpg,train\HATCHBACK\226_jpg.rf.928222df27f78ee6436af97c846dfa00.jpg,SEDAN,HATCHBACK,0.902
train\SEDAN\229_jpg.rf.9e8049b3c204eba260da703310181b7b.jpg,train\HATCHBACK\229_jpg.rf.9e8049b3c204eba260da703310181b7b.jpg,SEDAN,HATCHBACK,0.895
train\SEDAN\230_jpg.rf.406d7719a70e7439866b1c6d3f233faa.jpg,train\HATCHBACK\230_jpg.rf.406d7719a70e7439866b1c6d3f233faa.jpg,SEDAN,HATCHBACK,0.877
train\SEDAN\248_jpg.rf.d821ee084d4a8da0d46101bd2daa95aa.jpg,train\HATCHBACK\248_jpg.rf.d821ee084d4a8da0d46101bd2daa95aa.jpg,SEDAN,HATCHBACK,0.886
train\SEDAN\251_jpg.rf.9d0ab8072d886841c402791bf8110eee.jpg,train\HATCHBACK\251_jpg.rf.9d0ab8072d886841c402791bf8110eee.jpg,SEDAN,HATCHBACK,0.884
train\SEDAN\258_jpg.rf.569e423104a619a27cf4526e04d6ae50.jpg,train\HATCHBACK\258_jpg.rf.569e423104a619a27cf4526e04d6ae50.jpg,SEDAN,HATCHBACK,0.948
train\SEDAN\269_jpg.rf.4e76630d98f79c9e52d64c41ab75b0f4.jpg,train\HATCHBACK\269_jpg.rf.4e76630d98f79c9e52d64c41ab75b0f4.jpg,SEDAN,HATCHBACK,0.913
train\SEDAN\278_jpg.rf.686cb773edc3b1712b1efb926c10ab2e.jpg,train\ACIK_TEKERLEK\278_jpg.rf.686cb773edc3b1712b1efb926c10ab2e.jpg,SEDAN,ACIK_TEKERLEK,0.851
train\SEDAN\282_jpg.rf.0b62bee7dffcc1f4ec0b4a86ce825ba7.jpg,train\HATCHBACK\282_jpg.rf.0b62bee7dffcc1f4ec0b4a86ce825ba7.jpg,SEDAN,HATCHBACK,0.914
train\SEDAN\29_jpg.rf.c3fa6aa6a09ad8deeedfe440034fc0c0.jpg,train\HATCHBACK\29_jpg.rf.c3fa6aa6a09ad8deeedfe440034fc0c0.jpg,SEDAN,HATCHBACK,0.864
train\SEDAN\305_jpg.rf.084e2542833c6629f4eb0f01f764e3ff.jpg,train\HATCHBACK\305_jpg.rf.084e2542833c6629f4eb0f01f764e3ff.jpg,SEDAN,HATCHBACK,0.871
train\SEDAN\305_jpg.rf.b22d418024ee8f0b6c1e286cecc89eb9.jpg,train\HATCHBACK\305_jpg.rf.b22d418024ee8f0b6c1e286cecc89eb9.jpg,SEDAN,HATCHBACK,0.850
train\SEDAN\318_jpg.rf.f51a980f4ee758eb850a158ec364e876.jpg,train\HATCHBACK\318_jpg.rf.f51a980f4ee758eb850a158ec364e876.jpg,SEDAN,HATCHBACK,0.934
train\SEDAN\331_jpg.rf.6bb429515527c7ae8ceadf9b651c44b6.jpg,train\HATCHBACK\331_jpg.rf.6bb429515527c7ae8ceadf9b651c44b6.jpg,SEDAN,HATCHBACK,0.981
train\SEDAN\372_jpg.rf.0aee2be9b0ba430ea46a42b8db41590c.jpg,train\HATCHBACK\372_jpg.rf.0aee2be9b0ba430ea46a42b8db41590c.jpg,SEDAN,HATCHBACK,0.904
train\SEDAN\37_jpg.rf.1e55e330cf81d2857748148fc1f3bbf9.jpg,train\HATCHBACK\37_jpg.rf.1e55e330cf81d2857748148fc1f3bbf9.jpg,SEDAN,HATCHBACK,0.863
train\SEDAN\384_jpg.rf.0f5acd0963ad6bf7c32a24cc35efebe5.jpg,train\HATCHBACK\384_jpg.rf.0f5acd0963ad6bf7c32a24cc35efebe5.jpg,SEDAN,HATCHBACK,0.891
train\SEDAN\38_jpg.rf.682f39f25993542e54024e553b1c2785.jpg,train\HATCHBACK\38_jpg.rf.682f39f25993542e54024e553b1c2785.jpg,SEDAN,HATCHBACK,0.911
train\SEDAN\39_jpg.rf.52f118afcb00ea7487b4be23a2826f91.jpg,train\HATCHBACK\39_jpg.rf.52f118afcb00ea7487b4be23a2826f91.jpg,SEDAN,HATCHBACK,0.928
train\SEDAN\3_jpg.rf.ae64dd92ef6c9efeb22327d6fdc3d694.jpg,train\HATCHBACK\3_jpg.rf.ae64dd92ef6c9efeb22327d6fdc3d694.jpg,SEDAN,HATCHBACK,0.881
train\SEDAN\426_jpg.rf.dc425fffb750ce3f1716fb1cc5280d69.jpg,train\HATCHBACK\426_jpg.rf.dc425fffb750ce3f1716fb1cc5280d69.jpg,SEDAN,HATCHBACK,0.926
train\SEDAN\437_jpg.rf.2691906d3bfd084efc1f1fdd395bfaed.jpg,train\HATCHBACK\437_jpg.rf.2691906d3bfd084efc1f1fdd395bfaed.jpg,SEDAN,HATCHBACK,0.906
train\SEDAN\43_jpg.rf.8413782cf4f99e52eab102fd501ebb0b.jpg,train\HATCHBACK\43_jpg.rf.8413782cf4f99e52eab102fd501ebb0b.jpg,SEDAN,HATCHBACK,0.858
train\SEDAN\484_jpg.rf.6f5ae1bdc51ba9d713d53fed9433eba1.jpg,train\HATCHBACK\484_jpg.rf.6f5ae1bdc51ba9d713d53fed9433eba1.jpg,SEDAN,HATCHBACK,0.868
train\SEDAN\490_jpg.rf.c0ff71720bbd640e68953119e641477f.jpg,train\HATCHBACK\490_jpg.rf.c0ff71720bbd640e68953119e641477f.jpg,SEDAN,HATCHBACK,0.882
train\SEDAN\54_jpg.rf.094e47b0a87faccd976152b5067b3808.jpg,train\HATCHBACK\54_jpg.rf.094e47b0a87faccd976152b5067b3808.jpg,SEDAN,HATCHBACK,0.854
train\SEDAN\56_jpg.rf.522d074fb2bddcb36af68c71bef0c7e9.jpg,train\HATCHBACK\56_jpg.rf.522d074fb2bddcb36af68c71bef0c7e9.jpg,SEDAN,HATCHBACK,0.850
train\SEDAN\59_jpg.rf.681d59b475721cdc888057c998dbc68b.jpg,train\HATCHBACK\59_jpg.rf.681d59b475721cdc888057c998dbc68b.jpg,SEDAN,HATCHBACK,0.903
train\SEDAN\5_jpg.rf.c70ec5a1678406d77e089e13b015a85b.jpg,train\HATCHBACK\5_jpg.rf.c70ec5a1678406d77e089e13b015a85b.jpg,SEDAN,HATCHBACK,0.897
train\SEDAN\60_jpg.rf.9c7eb3ea71feb3e42bfd60e8d4a0a8eb.jpg,train\HATCHBACK\60_jpg.rf.9c7eb3ea71feb3e42bfd60e8d4a0a8eb.jpg,SEDAN,HATCHBACK,0.858
train\SEDAN\63_jpg.rf.6f7b638ed3b7ac6a664313b748b7938c.jpg,train\HATCHBACK\63_jpg.rf.6f7b638ed3b7ac6a664313b748b7938c.jpg,SEDAN,HATCHBACK,0.883
train\SEDAN\72_jpg.rf.42c36e9e974c0d3795987cf36ea241c9.jpg,train\HATCHBACK\72_jpg.rf.42c36e9e974c0d3795987cf36ea241c9.jpg,SEDAN,HATCHBACK,0.887
train\SEDAN\73_jpg.rf.faa97d8cf6a2c7750edfa79f68ec32d9.jpg,train\HATCHBACK\73_jpg.rf.faa97d8cf6a2c7750edfa79f68ec32d9.jpg,SEDAN,HATCHBACK,0.863
train\SEDAN\74_jpg.rf.a2eccb028b76ee315ab92b6e243808e4.jpg,train\HATCHBACK\74_jpg.rf.a2eccb028b76ee315ab92b6e243808e4.jpg,SEDAN,HATCHBACK,0.856
train\SEDAN\77_jpg.rf.4b7860b7d0b38d3a01acff86b4fc7cec.jpg,train\HATCHBACK\77_jpg.rf.4b7860b7d0b38d3a01acff86b4fc7cec.jpg,SEDAN,HATCHBACK,0.929
train\SEDAN\82_jpg.rf.57e3d691fa867646cd3b8393a6cbc591.jpg,train\HATCHBACK\82_jpg.rf.57e3d691fa867646cd3b8393a6cbc591.jpg,SEDAN,HATCHBACK,0.853
train\SEDAN\83_jpg.rf.b25fdc7c9965484a3e76be2a01d1fdbd.jpg,train\HATCHBACK\83_jpg.rf.b25fdc7c9965484a3e76be2a01d1fdbd.jpg,SEDAN,HATCHBACK,0.973
train\SEDAN\85_jpg.rf.0edf140546e126ad78878adc37204110.jpg,train\HATCHBACK\85_jpg.rf.0edf140546e126ad78878adc37204110.jpg,SEDAN,HATCHBACK,0.854
train\SEDAN\86782566-66b6-11eb-884b-8c164571e025_jpg.rf.d65e45edd5d31d0cf6b71fbdd014c83c.jpg,train\HATCHBACK\86782566-66b6-11eb-884b-8c164571e025_jpg.rf.d65e45edd5d31d0cf6b71fbdd014c83c.jpg,SEDAN,HATCHBACK,0.874
train\SEDAN\86784c54-66b6-11eb-bc20-8c164571e025_jpg.rf.beb20b53637f93a7c36886bc5cd516b1.jpg,train\HATCHBACK\86784c54-66b6-11eb-bc20-8c164571e025_jpg.rf.beb20b53637f93a7c36886bc5cd516b1.jpg,SEDAN,HATCHBACK,0.920
train\SEDAN\86789a46-66b6-11eb-8040-8c164571e025_jpg.rf.5b09a601c1befeb7835537aa9a60338d.jpg,train\HATCHBACK\86789a46-66b6-11eb-8040-8c164571e025_jpg.rf.5b09a601c1befeb7835537aa9a60338d.jpg,SEDAN,HATCHBACK,0.927
train\SEDAN\86789a4f-66b6-11eb-b1ef-8c164571e025_jpg.rf.4ae87c65d6e51c0dc09d5e358e164dca.jpg,train\HATCHBACK\86789a4f-66b6-11eb-b1ef-8c164571e025_jpg.rf.4ae87c65d6e51c0dc09d5e358e164dca.jpg,SEDAN,HATCHBACK,0.920
train\SEDAN\8678c132-66b6-11eb-bb70-8c164571e025_jpg.rf.e40a0f07a138fda7427e14b11a7cae57.jpg,train\HATCHBACK\8678c132-66b6-11eb-bb70-8c164571e025_jpg.rf.e40a0f07a138fda7427e14b11a7cae57.jpg,SEDAN,HATCHBACK,0.879
